id,ra,dec,rad,tmin,duration,caldb,irf,emin,emax
000219,246.5395,-50.5374,  5.0000,663744000.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000220,246.7080,-50.4268,  5.0000,663745920.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000221,246.8757,-50.3159,  5.0000,663747840.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000222,247.0427,-50.2049,  5.0000,663749760.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000223,247.2089,-50.0936,  5.0000,663751680.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000224,247.3743,-49.9820,  5.0000,663753600.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000225,247.5390,-49.8703,  5.0000,663755520.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000226,247.7029,-49.7583,  5.0000,663757440.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000227,247.8661,-49.6460,  5.0000,663759360.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000228,248.0285,-49.5336,  5.0000,663811200.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000229,248.1902,-49.4209,  5.0000,663813120.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000230,248.3511,-49.3081,  5.0000,663815040.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000231,248.5114,-49.1950,  5.0000,663816960.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000232,248.6709,-49.0817,  5.0000,663818880.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000233,248.8296,-48.9681,  5.0000,663820800.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000234,248.9877,-48.8544,  5.0000,663822720.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000235,249.1451,-48.7404,  5.0000,663824640.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000236,249.3017,-48.6263,  5.0000,663826560.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000237,249.4577,-48.5119,  5.0000,663828480.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000238,249.6129,-48.3973,  5.0000,663830400.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000239,249.7675,-48.2826,  5.0000,663832320.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000240,249.9214,-48.1676,  5.0000,663834240.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000241,250.0746,-48.0524,  5.0000,663836160.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
