N	filename	GLON	GLAT	R_pwn	R_pwn_deg	distance	cr_fl_01	cr_fl_1	nh	age	X	Y	Z	v_X	v_Y	v_Z	v_3d	E_sn	M_ej	l0	t0	eta	eps	ebreak	alpha1	alpha2	Tfir	Ufir	Tnir	Unir
2795	./spectra/ph_sed_pwn_2795.txt	-12.127450032355016	0.24051808781917516	0.705020747687535	0.011293344809808925	7.153719906514508	1.856917301677972e-06	9.081837428764085e-07	0.6190703424932861	54686.60555364091	1.505993447378557	-1.502890228874566	0.03003003003003002	-47.26321398541993	45.62454335656209	131.55626720973598	147.04578128897768	1e+51	3.976950830676288e+34	6.4201087587903295e+37	506.0530914689477	0.1173809650027888	0.4564284119302137	0.4218615588462202	1.1725051918438594	2.278645261922104	54.52008422303262	4.166336010691777e-12	3156.130869498424	1.7888461115943683e-11
2797	./spectra/ph_sed_pwn_2797.txt	-28.003561969595257	-0.13206126878505892	1.2699914899421052	0.007446614289963211	19.543150524012187	2.6959214633073573e-06	8.239388140707655e-06	0.3278091869006413	62838.364889425575	-8.754961455012188	-9.17600177278527	-0.04504504504504514	78.3075297444054	-203.3157370011591	-69.32527422069536	228.63803658352657	1e+51	3.244960229167426e+34	8.145181922166967e+36	11039.889718238039	0.10415681603074824	0.2411576139731968	0.3831667601251158	1.1644526502150558	2.094033410018993	34.603373647680336	3.319938164706564e-13	3960.698798708409	6.643740748716085e-13
2799	./spectra/ph_sed_pwn_2799.txt	-7.7174450782800035	0.0	1.4983199036254031	0.011265687968349493	15.240508342333046	3.00847305340263e-06	3.41751157813565e-05	2.945043929383598	77112.11039726781	-6.602465280943334	-2.0466159802523403	0.0	61.551707177737214	-1.9137443513110184	275.55020248964007	282.34763885327214	1e+51	3.7280752031569113e+34	1.102623272201757e+38	3094.7149030741552	0.07923053509885412	0.2587785357257022	0.8209215757338074	1.001939156138102	2.574262551560804	25.003752243404872	1.7822173939329896e-12	3645.5385926343347	3.151337819149382e-12
2800	./spectra/ph_sed_pwn_2800.txt	-92.08196471532253	1.9192867904469015	1.590606298998109	0.03630007249880872	5.021202952630691	2.2123028359471338e-05	1.5243115765060754e-05	0.25905182841229885	96502.75145303324	8.682313665496991	-5.015073308147668	0.16816816816816815	368.23438476547585	-164.24182495464018	113.9788476375671	419.00252612225023	1e+51	2.0633863735775863e+34	5.532756540240359e+36	30400.353465726337	0.1684870944569535	0.37125492959519857	0.4556399362231867	1.5247483928883807	2.1967672723573792	29.46391164128329	8.574712721677215e-13	2776.285472340553	1.7581241387805709e-12
2808	./spectra/ph_sed_pwn_2808.txt	-29.502215376572384	-4.761013107598525	5.287027432872129	0.03912383599666647	15.485409509320185	0.0042693904194797535	0.0038970528107957225	0.03830734925335394	3100.082600727639	-4.93101624365813	-7.599588940815455	-1.2852852852852852	3.4250091306334407	54.41757590726007	-487.0556123553607	490.09812566671036	1e+51	1.5955295159772795e+34	2.0834462652058588e+39	1072.5610918594032	0.0901271596526937	0.32035096028718024	0.3864023136447038	1.3704405809615945	2.6481398154022706	23.89269667616438	5.736272657203993e-13	2719.771689006149	1.5470505271318973e-12
2812	./spectra/ph_sed_pwn_2812.txt	95.58089451133569	0.03742240669063967	1.5343672299618918	0.01912076285667788	9.195528849488355	0.020355942678999546	0.006705627988937679	0.3306104476029005	16407.819329965278	9.394274480559137	9.151939024222417	0.006006006006005982	64.03976961474736	-124.16485042919399	110.64847893111215	178.21640795443835	1e+51	2.442090411843694e+34	1.6266802959803348e+37	2324.3577333451603	0.1076707060007296	0.6598434806117224	0.3058129048204429	1.14933114278672	2.127962939050629	21.304757844845028	1.6813385132122745e-13	2562.720522658069	3.084489022206089e-13
2813	./spectra/ph_sed_pwn_2813.txt	49.54795522255834	-3.650539285527872	2.334404982472605	0.017186982335742427	15.564285404554074	0.00014959281890659207	0.00022495195001229331	0.017235333260562487	72892.58846654202	-1.5777955914892667	11.81960037506976	-0.990990990990991	325.2576990127057	-245.33326284174495	-12.24141221294674	407.59150236061583	1e+51	1.5291046547637376e+34	1.8575051955125601e+37	3529.406308905175	0.07072996584891955	0.3055134198317899	0.4124858552762739	1.0027078962223026	2.6500070917224434	20.21878843572754	3.317045426176692e-13	3993.623394500503	8.187096568776728e-13
2814	./spectra/ph_sed_pwn_2814.txt	-61.31523028243133	-1.4600118898687495	1.3053489035554648	0.011537654723546073	12.96467674703451	0.0005018102931671128	0.0001852516440322305	0.11134875788532428	45850.01874915064	2.2791009401951614	-11.369878623612498	-0.3303303303303303	-63.81978384928345	-50.66136128093194	-251.75148453505184	264.6098038679006	1e+51	3.036738253669971e+34	3.92601031673536e+34	1875247.6693504527	0.08506645088219279	0.6007199378539172	0.4275635208469295	1.1355710563562955	2.294762820017993	25.816498900375013	3.8141454290376367e-13	2964.6827088832288	7.560960241064217e-13
2815	./spectra/ph_sed_pwn_2815.txt	59.95573384564772	-4.4157474220570485	4.42234739346574	0.05324898615923244	9.516867325041574	0.0035353520371805623	0.0012706954188363526	0.0878568605631774	5884.46381581429	3.7493438817316713	8.213716142574302	-0.7327327327327328	-98.296020613581	30.068578251837522	576.5004635597278	585.5928718411224	1e+51	3.216975035639009e+34	4.379634472577072e+38	367.6112986234955	0.10299551705344716	0.08971682684115972	0.3887837917349923	1.2290838337427106	2.189296211552711	32.798710495657566	7.63237001204002e-13	3616.680524572245	1.5748972016167084e-12
2816	./spectra/ph_sed_pwn_2816.txt	15.986165906713472	-3.49260276470598	14.036179900090925	0.07299541769222315	22.034627900760285	0.003999264154924113	0.001457012737259864	0.0040156489720804545	69097.093981144	-12.643166761792099	6.057181113683829	-1.3423423423423424	348.1798684385343	-46.803461943259414	-68.1429516782914	357.85925543316483	1e+51	2.7651643026829183e+34	2.5800449693293373e+36	29838.96908766806	0.10641626252606323	0.2147682894934869	0.5250171694237576	1.2231260650544842	2.4974310425378343	49.1571687431557	2.219595274547376e-13	3164.112980311697	4.4046681635664784e-13
